,date,gacc,fires,cumulative_acres,crews,engines,helicopters,total_personnel
0,2025-03-23,NWCC,0,0,0,0,0,0
1,2025-03-23,ONCC,0,0,0,0,0,0
2,2025-03-23,OSCC,0,0,0,0,0,0
3,2025-03-23,NRCC,0,0,0,0,0,0
4,2025-03-23,GBCC,0,0,0,0,0,0
5,2025-03-23,SWCC,3,"21,848",2,12,0,160
6,2025-03-23,RMCC,12,"49,237",0,70,0,285
7,2025-03-23,EACC,19,"8,296",3,31,3,243
8,2025-03-23,SACC,106,"266,809",26,234,10,"1,212"
9,2016-11-26,NWCC,0,0,0,0,0,0
10,2016-11-26,ONCC,1,"1,235",1,0,0,6
11,2016-11-26,OSCC,0,0,0,0,0,0
12,2016-11-26,NRCC,0,0,0,0,0,0
13,2016-11-26,GBCC,0,0,0,0,0,0
14,2016-11-26,SWCC,0,518,0,0,0,0
15,2016-11-26,RMCC,0,0,0,0,0,0
16,2016-11-26,EACC,2,"1,269.5",1,8,2,83
17,2016-11-26,SACC,83,"166,548.5",100,332,33,"3,714"
18,2024-08-15,NWCC,37,"1,283,389",281,531,55,"12,300"
19,2024-08-15,ONCC,4,"447,038",152,451,32,"7,328"
20,2024-08-15,OSCC,9,"96,721",38,38,8,"1,264"
21,2024-08-15,NRCC,14,"9,345",19,27,6,792
22,2024-08-15,GBCC,23,"290,536",70,133,23,"2,953"
23,2024-08-15,SWCC,11,"90,074",4,18,2,222
24,2024-08-15,RMCC,6,"39,581",1,28,3,308
25,2024-08-15,EACC,0,0,0,0,0,0
26,2024-08-15,SACC,14,"15,159",0,48,0,222
27,2019-09-09,NWCC,5,"16,381",17,12,15,638
28,2019-09-09,ONCC,10,"60,553",111,370,38,"4,724"
29,2019-09-09,OSCC,7,"16,126",41,68,5,"1,063"
30,2019-09-09,NRCC,10,"13,504",8,20,8,345
31,2019-09-09,GBCC,16,"55,098",24,47,11,938
32,2019-09-09,SWCC,15,"49,090",16,27,5,542
33,2019-09-09,RMCC,7,"37,727",11,13,9,542
34,2019-09-09,EACC,0,0,0,0,0,0
35,2019-09-09,SACC,8,"25,018",0,43,1,281
36,2020-09-14,NWCC,34,"1,666,534",217,609,69,"8,651"
37,2020-09-14,ONCC,17,"2,407,341",194,722,82,"9,908"
38,2020-09-14,OSCC,10,"490,710",98,709,52,"6,900"
39,2020-09-14,NRCC,18,"120,291",27,74,14,"1,458"
40,2020-09-14,GBCC,11,"146,756",31,121,31,"1,822"
41,2020-09-14,SWCC,8,"33,106",3,9,5,146
42,2020-09-14,RMCC,7,"306,602",24,72,24,"1,414"
43,2020-09-14,EACC,0,0,0,0,0,0
44,2020-09-14,SACC,3,"615,734",0,0,0,147
45,2016-03-11,AKCC,0,0,0,0,0,0
46,2016-03-11,NWCC,0,0,0,0,0,0
47,2016-03-11,ONCC,0,0,0,0,0,0
48,2016-03-11,OSCC,0,0,0,0,0,0
49,2016-03-11,NRCC,1,440,0,3,0,7
50,2016-03-11,GBCC,0,0,0,0,0,0
51,2016-03-11,SWCC,4,"12,392",3,6,2,95
52,2016-03-11,RMCC,4,"26,747",2,23,0,106
53,2016-03-11,EACC,1,174,0,0,0,4
54,2016-03-11,SACC,42,"29,902",1,116,4,462
55,2020-09-04,NWCC,16,"173,415",96,234,28,"3,864"
56,2020-09-04,ONCC,12,"1,449,781",209,817,87,"11,352"
57,2020-09-04,OSCC,11,"205,902",28,136,24,"1,884"
